Time (HH:MM),Toy Story Mania!,Soaring: Fantastic Flight,Anna and Elsa's Frozen Journey,Rapunzel's Lantern Festival,Peter Pan's Never Land Adventure,Tower of Terror,Journey to the Center of the Earth,Raging Spirits
06:05,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
06:10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
06:15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
06:20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
06:25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
06:30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
06:35,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
06:40,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
06:45,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
06:50,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
06:55,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
07:00,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
07:05,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
07:10,5.0,5.0,5.0,11.2,5.0,5.0,5.0,5.0
07:15,5.0,5.0,5.0,11.2,5.0,5.0,5.0,5.0
07:20,5.0,5.0,5.0,11.2,5.0,5.0,5.0,5.0
07:25,5.0,5.0,5.0,11.2,5.0,5.0,5.0,11.2
07:30,5.0,5.0,5.0,11.2,5.0,5.0,5.0,11.2
07:35,5.0,5.0,5.0,11.2,5.0,5.0,5.0,11.2
07:40,5.0,5.0,5.0,11.2,5.0,5.0,5.0,17.5
07:45,5.0,5.0,5.0,11.2,5.0,5.0,5.0,17.5
07:50,5.0,5.0,5.0,11.2,5.0,5.0,5.0,17.5
07:55,5.0,8.8,5.0,11.2,5.0,5.0,5.0,17.5
08:00,5.0,8.8,5.0,11.2,5.0,5.0,5.0,17.5
08:05,5.0,8.8,5.0,11.2,5.0,5.0,5.0,17.5
08:10,5.0,8.8,11.2,11.2,5.0,5.0,5.0,17.5
08:15,5.0,8.8,11.2,11.2,5.0,5.0,5.0,17.5
08:20,11.2,8.8,13.8,26.2,11.2,5.0,5.0,17.5
08:25,17.5,8.8,17.5,26.2,23.8,5.0,8.3,20.0
08:30,17.5,8.8,17.5,26.2,23.8,5.0,8.3,20.0
08:35,23.8,35.0,31.7,26.2,30.0,5.0,8.3,16.2
08:40,30.0,35.0,50.0,26.2,28.8,11.2,8.3,16.2
08:45,27.5,37.5,46.7,32.5,23.8,21.2,16.7,16.2
08:50,25.0,40.0,50.0,27.5,22.5,22.5,23.8,18.8
08:55,28.8,60.0,50.0,23.8,17.5,22.5,28.8,18.8
09:00,42.5,90.0,60.0,20.0,11.2,26.2,55.0,18.8
09:05,67.5,130.0,93.3,13.3,11.2,32.5,82.5,10.0
09:10,77.5,155.0,103.3,13.3,12.5,42.5,110.0,10.0
09:15,107.5,175.0,126.7,26.2,15.0,57.5,140.0,10.0
09:20,125.0,170.0,166.7,30.0,20.0,72.5,170.0,11.2
09:25,145.0,175.0,140.0,47.5,31.2,85.0,175.0,12.5
09:30,160.0,185.0,140.0,60.0,40.0,105.0,170.0,20.0
09:35,160.0,180.0,155.0,80.0,57.5,125.0,175.0,55.0
09:40,160.0,175.0,170.0,92.5,72.5,130.0,175.0,62.5
09:45,160.0,170.0,170.0,102.5,85.0,130.0,180.0,85.0
09:50,155.0,175.0,175.0,115.0,100.0,150.0,190.0,115.0
09:55,160.0,175.0,185.0,125.0,110.0,155.0,195.0,115.0
10:00,160.0,175.0,200.0,135.0,110.0,160.0,195.0,130.0
10:05,160.0,180.0,205.0,135.0,115.0,170.0,195.0,130.0
10:10,160.0,180.0,210.0,140.0,120.0,175.0,200.0,130.0
10:15,160.0,175.0,210.0,140.0,120.0,175.0,195.0,135.0
10:20,160.0,175.0,210.0,140.0,115.0,185.0,195.0,130.0
10:25,160.0,170.0,220.0,140.0,112.5,185.0,190.0,140.0
10:30,160.0,170.0,220.0,145.0,112.5,185.0,185.0,145.0
10:35,155.0,170.0,220.0,140.0,112.5,185.0,185.0,150.0
10:40,150.0,180.0,220.0,145.0,110.0,180.0,185.0,150.0
10:45,150.0,186.7,220.0,140.0,115.0,175.0,180.0,155.0
10:50,145.0,186.7,210.0,140.0,110.0,170.0,195.0,160.0
10:55,145.0,186.7,210.0,140.0,110.0,165.0,195.0,160.0
11:00,135.0,186.7,205.0,140.0,105.0,165.0,200.0,165.0
11:05,130.0,180.0,200.0,140.0,97.5,165.0,210.0,155.0
11:10,125.0,180.0,195.0,135.0,95.0,175.0,210.0,152.5
11:15,125.0,180.0,190.0,135.0,95.0,170.0,215.0,152.5
11:20,120.0,180.0,185.0,130.0,92.5,170.0,205.0,147.5
11:25,125.0,180.0,175.0,130.0,95.0,170.0,205.0,147.5
11:30,115.0,180.0,170.0,125.0,90.0,165.0,210.0,145.0
11:35,115.0,173.3,165.0,125.0,90.0,165.0,210.0,140.0
11:40,115.0,173.3,165.0,120.0,90.0,165.0,210.0,140.0
11:45,115.0,173.3,160.0,115.0,87.5,165.0,210.0,140.0
11:50,120.0,173.3,160.0,107.5,92.5,160.0,205.0,142.5
11:55,120.0,173.3,165.0,107.5,95.0,150.0,200.0,132.5
12:00,110.0,173.3,165.0,105.0,95.0,150.0,195.0,127.5
12:05,110.0,173.3,165.0,105.0,92.5,150.0,190.0,125.0
12:10,112.5,173.3,165.0,105.0,90.0,155.0,185.0,120.0
12:15,117.5,166.7,165.0,105.0,90.0,150.0,185.0,120.0
12:20,117.5,166.7,165.0,105.0,85.0,150.0,185.0,125.0
12:25,117.5,166.7,165.0,97.5,85.0,140.0,185.0,125.0
12:30,117.5,166.7,165.0,97.5,82.5,135.0,180.0,122.5
12:35,112.5,166.7,165.0,97.5,80.0,135.0,180.0,122.5
12:40,120.0,166.7,165.0,92.5,80.0,135.0,185.0,122.5
12:45,125.0,166.7,165.0,92.5,80.0,135.0,185.0,120.0
12:50,120.0,166.7,146.7,92.5,80.0,130.0,185.0,125.0
12:55,125.0,145.0,146.7,92.5,80.0,130.0,180.0,120.0
13:00,125.0,150.0,146.7,92.5,80.0,130.0,180.0,120.0
13:05,125.0,170.0,140.0,95.0,80.0,130.0,190.0,120.0
13:10,125.0,175.0,140.0,95.0,80.0,120.0,190.0,117.5
13:15,125.0,180.0,140.0,100.0,77.5,120.0,195.0,122.5
13:20,135.0,175.0,140.0,102.5,77.5,115.0,190.0,117.5
13:25,135.0,180.0,140.0,102.5,77.5,107.5,190.0,115.0
13:30,135.0,180.0,146.7,107.5,80.0,112.5,190.0,110.0
13:35,135.0,185.0,146.7,105.0,77.5,120.0,185.0,112.5
13:40,135.0,180.0,153.3,105.0,80.0,125.0,185.0,120.0
13:45,140.0,180.0,153.3,105.0,82.5,125.0,190.0,120.0
13:50,150.0,180.0,146.7,107.5,85.0,130.0,190.0,115.0
